id,Place,Location,layer,Longitude,Latitude
1,Ayungin Shoal_(BRP Sierra Madre),Ayungin Shoal_(BRP Sierra Madre),key_locations,115.857,9.791
2,Babuyan Island,Babuyan Island,key_locations,121.991,19.505
3,Bajo de Masinloc,Bajo de Masinloc,key_locations,117.771,15.146
4,"Baler, Aurora","Baler, Aurora",key_locations,121.641,15.724
5,"Bolinao, Pangasinan","Bolinao, Pangasinan",key_locations,119.792,16.337
6,"Burgos, Ilocos Norte","Burgos, Ilocos Norte",key_locations,120.603,18.525
7,"Busuanga, Palawan","Busuanga, Palawan",key_locations,119.864,12.311
8,"Cabra Island,_Occidental Mindoro","Cabra Island,_Occidental Mindoro",key_locations,120.018,13.889
9,Camiguin Norte,Camiguin Norte,key_locations,121.998,18.958
10,"City of Mati, Davao Oriental","City of Mati, Davao Oriental",key_locations,126.295,6.947
11,"Cortes, Surigao del Sur","Cortes, Surigao del Sur",key_locations,126.195,9.302
12,"Dalupiri Island,_Cagayan","Dalupiri Island,_Cagayan",key_locations,121.197,19.086
13,"El Nido,_Palawan","El Nido,_Palawan",key_locations,119.41,11.312
14,Escoda Shoal,Escoda Shoal,key_locations,116.518,9.744
15,"Hadji Muhtamad,_Basilan","Hadji Muhtamad,_Basilan",key_locations,121.589,6.905
16,"Jomalig Island, Quezon","Jomalig Island, Quezon",key_locations,122.408,14.732
17,"Lubang Island,_Occidental Mindoro","Lubang Island,_Occidental Mindoro",key_locations,120.129,13.762
18,"Mamburao, Occidental Mindoro","Mamburao, Occidental Mindoro",key_locations,120.524,13.223
19,"Mercedes, Samar","Mercedes, Samar",key_locations,125.724,11.1
20,"Panay Island, Catanduanes","Panay Island, Catanduanes",key_locations,124.208,14.099
21,Patag Island,Patag Island,key_locations,115.824,10.818
22,"Puerto Princesa, Palawan","Puerto Princesa,_Palawan",key_locations,118.704,10.031
23,"Quezon, Palawan","Quezon, Palawan",key_locations,118.197,9.471
24,Rozul Reef,Rozul Reef,key_locations,116.106,10.575
25,"San Policarpio, Samar","San Policarpio, Samar",key_locations,125.517,12.183
26,"Santa Ana, Cagayan","Santa Ana, Cagayan",key_locations,122.235,18.518
27,"Siargao Island, Surigao del Norte","Siargao Island, Surigao del Norte",key_locations,126.105,9.917
28,"Suluan Island, Eastern Samar","Suluan Island, Eastern Samar",key_locations,125.969,10.751
29,"Tinaga Island, Camarines Norte","Tinaga Island, Camarines Norte",key_locations,122.962,14.492
30,Tubbataha Reefs Natural Park,Tubbataha Reefs_Natural Park,key_locations,119.908,8.839
31,"Vigan, Ilocos Sur","Vigan, Ilocos Sur",key_locations,120.345,17.563
32,"Zamboanga City, Zamboanga del Sur","Zamboanga City,_Zamboanga del Sur",key_locations,121.898,7.109
33,"Puerto Princesa, Palawan","Puerto Princesa,_Palawan",key_locations,118.725,9.631
34,"Pangutaran Island, Sulu","Pangutaran Island, Sulu",key_locations,120.538,6.243
